age,income,gender,car,target
25,57274,female,no,1
53,59501,male,yes,1
41,21671,male,yes,0
28,98745,female,no,1
39,89642,male,yes,0
65,90306,male,yes,1
58,46198,male,yes,0
48,97684,male,yes,0
48,59124,male,yes,0
43,65525,male,yes,0
55,26705,male,yes,0
62,97497,male,yes,0
59,62950,male,yes,0
23,84989,female,no,1
47,27159,male,yes,0
43,38781,male,yes,0
47,68108,male,yes,0
19,94871,female,no,1
44,93854,male,yes,0
65,24713,male,yes,1
63,96593,male,yes,0
42,39656,male,yes,0
21,49816,female,no,1
36,46403,male,yes,0
33,23645,male,yes,0
57,63843,male,yes,0
60,94427,male,yes,0
37,41096,male,yes,0
20,76960,female,no,1
48,65199,male,yes,0
41,91674,male,yes,0
21,93469,female,no,1
48,24174,male,yes,0
34,38996,male,yes,0
56,44367,male,yes,0
25,27560,female,no,1
57,92999,male,yes,0
41,80096,male,yes,1
25,60439,female,no,1
24,33659,female,no,1
49,84347,male,yes,0
39,47313,male,yes,0
58,90534,male,yes,0
39,56620,male,yes,0
62,69891,male,yes,0
20,96668,female,no,1
18,86417,female,no,1
37,20739,male,yes,0
54,41009,male,yes,0
36,76293,male,yes,0
56,52707,male,yes,0
20,51812,female,no,1
41,67550,male,yes,0
53,34818,male,yes,0
38,52792,male,yes,0
41,51543,male,yes,0
42,96680,male,yes,0
46,30645,male,yes,0
30,37205,male,yes,0
38,63854,male,yes,0
58,64201,male,yes,0
50,49008,male,yes,0
27,76484,female,no,1
60,22571,male,yes,0
40,58816,male,yes,0
30,62210,male,yes,0
20,41972,female,no,1
45,64429,male,yes,0
50,59260,male,yes,0
30,53277,male,yes,0
28,77512,female,no,1
42,71567,male,yes,0
55,37064,male,yes,0
48,72403,male,yes,0
22,32740,female,no,1
25,51834,female,no,1
43,20510,male,yes,0
39,71092,male,yes,0
43,95446,male,yes,0
21,72265,female,no,1
23,47355,male,yes,1
31,71964,male,yes,0
22,34639,female,no,1
48,68370,male,yes,0
53,43132,male,yes,0
36,22629,male,yes,1
46,93029,male,yes,0
38,52997,male,yes,0
57,57957,male,yes,0
39,30498,male,yes,0
18,60149,female,no,1
39,45700,male,yes,0
26,93667,male,yes,1
36,74555,male,yes,0
19,32487,female,no,1
44,67675,male,yes,0
64,59706,male,yes,0
39,82696,male,yes,0
60,34011,male,yes,0
38,65030,male,yes,0
60,89399,male,yes,0
20,42326,female,no,1
54,78391,male,yes,1
38,95285,male,yes,0
44,49499,male,yes,0
45,51000,male,yes,0
38,24031,male,yes,0
58,38140,male,yes,0
52,73842,male,yes,0
27,65875,female,no,1
31,39499,male,yes,0
32,60369,male,yes,1
63,48307,male,yes,0
37,99152,male,yes,0
23,68009,female,no,1
48,32644,male,yes,0
47,89256,male,yes,0
45,82669,male,yes,0
52,58155,male,yes,0
28,84634,female,no,1
47,21283,male,yes,0
35,57557,male,yes,0
30,77639,male,yes,0
56,84642,male,yes,0
64,21153,male,yes,0
59,85179,male,yes,0
44,41308,male,yes,0
22,22547,female,no,1
38,66932,male,yes,0
19,45683,female,no,1
57,65842,male,yes,0
18,67827,female,no,1
55,73955,male,yes,0
42,56306,male,yes,0
52,52865,male,yes,1
19,96183,male,yes,1
37,65350,male,yes,0
44,49034,male,yes,0
39,94658,male,yes,0
62,91173,male,yes,0
41,58242,male,yes,0
56,39134,male,yes,0
54,71142,male,yes,0
26,36297,female,no,1
64,56292,male,yes,0
31,66915,male,yes,0
24,55115,female,no,1
58,20149,male,yes,0
42,95339,male,yes,1
57,52362,male,yes,0
29,42833,female,no,1
44,37568,male,yes,0
54,76010,male,yes,1
21,38941,female,no,1
55,63185,male,yes,0
28,77711,male,yes,1
44,96002,male,yes,0
63,45315,male,yes,1
35,41601,male,yes,0
21,40865,female,no,1
48,80062,male,yes,0
56,79477,male,yes,0
43,30916,male,yes,0
63,56170,male,yes,0
50,91977,male,yes,1
53,37982,male,yes,1
26,78780,female,no,1
34,65006,male,yes,0
56,32691,male,yes,0
48,71576,male,yes,0
51,43412,male,yes,0
35,71296,male,yes,0
20,20828,female,no,1
25,89148,female,no,1
29,99060,female,no,1
22,66182,female,no,1
50,61792,male,yes,1
45,98385,male,yes,0
40,90793,male,yes,0
38,54879,male,yes,0
44,93576,male,yes,0
21,22060,male,yes,1
34,63432,male,yes,0
32,70577,male,yes,0
46,29643,male,yes,1
63,52499,male,yes,0
33,56216,male,yes,0
22,38739,male,yes,1
52,34741,male,yes,0
61,50613,male,yes,0
43,93799,male,yes,0
24,62686,female,no,1
65,87956,male,yes,0
44,24014,male,yes,0
62,31258,male,yes,0
34,56618,male,yes,0
62,42605,male,yes,0
55,46974,male,yes,0
38,24221,male,yes,0
64,21061,male,yes,0
22,85086,female,no,1
39,25591,male,yes,0
51,77310,male,yes,0
46,55636,male,yes,0
41,38478,male,yes,0
39,52348,male,yes,0
30,78367,male,yes,0
62,69743,male,yes,0
40,33991,male,yes,0
19,64043,female,no,1
45,92513,male,yes,0
55,56192,male,yes,0
29,83421,female,no,1
48,32724,male,yes,0
46,41362,male,yes,0
22,65902,female,no,1
47,67869,male,yes,0
59,52263,male,yes,0
38,24261,male,yes,0
51,96423,male,yes,0
50,30053,male,yes,0
50,22395,male,yes,0
42,91937,male,yes,0
64,76942,male,yes,0
55,90329,male,yes,0
40,45553,male,yes,1
42,76919,male,yes,0
64,26092,male,yes,0
58,50788,male,yes,0
31,44026,male,yes,1
54,94805,male,yes,0
64,23338,male,yes,0
52,69505,male,yes,0
27,98809,female,no,1
39,78632,male,yes,0
39,89585,male,yes,0
61,35757,male,yes,0
60,59808,male,yes,0
36,58976,male,yes,1
23,74504,female,no,1
46,20338,male,yes,0
22,40769,female,no,1
53,46929,male,yes,0
41,96841,male,yes,0
37,91731,male,yes,0
45,39558,male,yes,0
34,90882,male,yes,0
27,38066,female,no,1
28,86487,female,no,1
20,90141,female,no,1
41,59493,male,yes,0
61,79097,male,yes,0
30,80953,male,yes,0
58,36742,male,yes,0
60,36283,male,yes,0
62,45599,male,yes,0
33,30998,male,yes,0
44,81532,male,yes,1
32,96452,male,yes,0
40,60179,male,yes,0
39,39290,male,yes,0
41,57758,male,yes,0
39,45488,male,yes,0
46,71116,male,yes,0
56,20121,male,yes,0
20,54874,male,yes,1
26,74061,female,no,1
28,40063,male,yes,1
33,75607,male,yes,0
58,53531,male,yes,0
50,26635,male,yes,0
30,75273,male,yes,0
33,86235,male,yes,0
21,65617,female,no,1
60,45975,male,yes,0
51,57278,male,yes,0
31,96906,male,yes,0
45,49347,male,yes,0
61,37330,male,yes,0
24,37873,female,no,1
52,99877,male,yes,1
34,34462,male,yes,0
27,23303,female,no,1
22,69885,female,no,1
30,98195,male,yes,1
58,34290,male,yes,0
57,75685,male,yes,0
60,89622,male,yes,0
22,60194,female,no,1
28,77825,female,no,1
42,76139,male,yes,1
40,40808,male,yes,0
55,29307,male,yes,0
42,58167,male,yes,1
48,69975,male,yes,0
18,80107,female,no,1
64,61095,male,yes,1
34,36683,male,yes,0
38,25404,male,yes,0
43,49031,male,yes,0
35,72500,male,yes,0
60,68840,male,yes,0
42,49595,male,yes,0
45,57786,male,yes,0
53,87490,male,yes,0
47,69406,male,yes,0
41,58501,male,yes,0
53,65782,male,yes,0
22,82777,male,yes,1
42,20398,male,yes,0
49,61320,male,yes,0
19,57252,male,yes,1
22,20443,female,no,1
53,72759,male,yes,0
45,99438,male,yes,0
32,78187,male,yes,0
58,59213,male,yes,0
25,43312,female,no,1
65,63523,male,yes,0
64,61666,male,yes,0
50,24723,male,yes,0
37,88916,male,yes,0
48,31842,male,yes,0
40,91159,male,yes,0
56,70204,male,yes,0
31,37277,male,yes,0
24,52067,female,no,1
39,77298,male,yes,0
64,44864,male,yes,0
49,93848,male,yes,0
48,22464,male,yes,0
60,48718,male,yes,1
63,22653,male,yes,0
64,98507,male,yes,1
30,31330,male,yes,0
26,62283,female,no,1
35,46241,male,yes,0
42,48039,male,yes,1
33,79070,male,yes,0
61,31100,male,yes,0
59,80035,male,yes,0
30,25561,male,yes,0
58,96656,male,yes,0
30,87350,male,yes,1
22,85266,female,no,1
35,39495,male,yes,0
26,43184,female,no,1
56,86040,male,yes,0
61,76593,male,yes,0
39,26902,male,yes,0
55,89556,male,yes,0
33,30227,male,yes,0
26,84126,female,no,1
29,56252,female,no,1
54,53408,male,yes,0
43,27271,male,yes,0
38,43299,male,yes,0
29,40338,female,no,1
28,90217,female,no,1
27,58044,female,no,1
18,75352,female,no,1
19,73267,female,no,1
25,98858,female,no,1
32,40107,male,yes,0
56,59153,male,yes,0
26,33367,female,no,1
52,64494,male,yes,0
51,98273,male,yes,0
28,76254,female,no,1
22,42936,female,no,1
35,69794,male,yes,0
20,61613,female,no,1
45,90337,male,yes,0
24,58020,female,no,1
28,39031,female,no,1
28,79476,female,no,1
57,87852,male,yes,0
20,48946,male,yes,1
25,30143,female,no,1
25,51061,female,no,1
65,61250,male,yes,0
24,35188,female,no,1
19,78079,female,no,1
49,28919,male,yes,0
61,38084,male,yes,0
47,53248,male,yes,0
58,72317,male,yes,0
48,90198,male,yes,0
35,81867,male,yes,0
31,99078,male,yes,0
55,88374,male,yes,0
29,46124,female,no,1
46,71066,male,yes,0
61,94231,male,yes,0
19,73191,female,no,1
29,99650,male,yes,1
21,21265,female,no,1
61,23761,male,yes,1
28,96520,female,no,1
18,70559,male,yes,1
54,41681,male,yes,0
57,86023,male,yes,0
55,51331,male,yes,0
63,66248,male,yes,0
56,81633,male,yes,0
57,90125,male,yes,0
36,47412,male,yes,0
64,95474,male,yes,0
34,74007,male,yes,0
63,58856,male,yes,0
25,99661,female,no,1
20,81292,female,no,1
20,39259,female,no,1
49,22979,male,yes,0
48,52818,male,yes,0
55,71906,male,yes,0
48,49320,male,yes,0
54,90188,male,yes,0
42,79580,male,yes,0
19,40413,female,no,1
39,88803,male,yes,0
27,89629,female,no,1
34,73380,male,yes,0
60,28277,male,yes,0
38,78304,male,yes,0
41,74851,male,yes,0
40,32677,male,yes,0
57,42586,male,yes,0
40,75830,male,yes,0
24,80729,female,no,1
19,70827,female,no,1
38,60880,male,yes,0
48,63215,male,yes,0
33,81838,male,yes,0
32,38118,male,yes,0
38,50944,male,yes,0
29,34823,male,yes,1
20,26168,female,no,1
34,26642,male,yes,0
20,87825,male,yes,1
20,38111,female,no,1
37,50708,male,yes,0
59,24309,male,yes,0
24,21218,female,no,1
51,75100,male,yes,0
65,34215,male,yes,0
61,50914,male,yes,0
57,97239,male,yes,0
28,45200,female,no,1
19,79323,female,no,1
40,25113,male,yes,0
50,46358,male,yes,0
21,39700,female,no,1
41,41402,male,yes,0
57,28952,male,yes,0
62,80869,male,yes,0
52,27419,male,yes,0
36,42658,male,yes,0
33,90942,male,yes,0
47,77530,male,yes,0
34,36288,male,yes,1
21,26822,female,no,1
43,39946,male,yes,0
47,50578,male,yes,0
24,68280,female,no,1
44,82043,male,yes,0
19,78304,female,no,1
38,37197,male,yes,0
21,53581,female,no,1
25,90332,female,no,1
23,49348,female,no,1
28,68034,male,yes,1
53,78665,male,yes,0
60,66901,male,yes,0
46,28870,male,yes,0
23,42645,female,no,1
55,58325,male,yes,0
40,31813,male,yes,0
63,72434,male,yes,0
42,87788,male,yes,0
25,77731,female,no,1
63,51328,male,yes,1
43,25653,male,yes,0
52,53149,male,yes,1
26,77916,female,no,1
42,34801,male,yes,0
28,36278,female,no,1
53,85129,male,yes,0
25,25667,female,no,1
49,99164,male,yes,0
35,62245,male,yes,1
40,99106,male,yes,0
47,94017,male,yes,0
39,69733,male,yes,0
18,20215,female,no,1
29,89966,female,no,1
56,90540,male,yes,0
40,58672,male,yes,1
28,25902,female,no,1
18,84707,female,no,1
18,75677,female,no,1
38,32190,male,yes,1
27,36028,female,no,1
49,28802,male,yes,0
26,65546,female,no,1
61,23958,male,yes,1
55,52875,male,yes,0
35,85178,male,yes,0
40,44850,male,yes,0
33,75298,male,yes,0
59,34306,male,yes,0
18,98317,female,no,1
44,22093,male,yes,0
24,86767,female,no,1
30,65556,male,yes,0
43,97761,male,yes,0
60,38204,male,yes,0
32,57275,male,yes,0
29,28981,female,no,1
47,75632,male,yes,1
19,29587,male,yes,1
62,86145,male,yes,0
59,32564,male,yes,0
21,43293,female,no,1
59,51060,male,yes,0
37,67380,male,yes,0
36,99424,male,yes,0
50,51274,male,yes,0
53,72470,male,yes,0
53,51277,male,yes,1
47,27708,male,yes,0
31,25353,male,yes,0
19,26032,male,yes,1
53,28633,male,yes,0
33,35887,male,yes,0
37,86766,male,yes,0
45,59496,male,yes,0
59,88537,male,yes,0
23,53536,female,no,1
38,54027,male,yes,0
39,48481,male,yes,0
52,79945,male,yes,0
27,24280,female,no,1
21,42611,female,no,1
49,96831,male,yes,1
32,87706,male,yes,0
39,75165,male,yes,0
26,85892,female,no,1
41,84501,male,yes,0
18,62005,female,no,1
30,44710,male,yes,0
20,47743,female,no,1
46,54473,male,yes,0
35,50148,male,yes,1
26,28893,female,no,1
23,89660,female,no,1
51,59653,male,yes,0
60,29944,male,yes,0
33,72494,male,yes,1
52,26957,male,yes,0
63,77198,male,yes,0
48,51050,male,yes,1
57,96820,male,yes,0
40,62157,male,yes,0
35,73123,male,yes,0
22,86760,female,no,1
31,98249,male,yes,0
45,65390,male,yes,0
51,54568,male,yes,0
20,82246,female,no,1
54,95956,male,yes,0
38,83666,male,yes,0
54,20385,male,yes,0
52,60162,male,yes,0
51,76625,male,yes,0
33,99510,male,yes,0
40,64615,male,yes,0
62,49073,male,yes,0
36,80503,male,yes,0
65,91062,male,yes,0
53,32245,male,yes,0
55,95722,male,yes,0
27,57431,female,no,1
60,76656,male,yes,0
35,47777,male,yes,0
31,31095,male,yes,0
28,55735,female,no,1
32,40736,male,yes,0
62,74818,male,yes,0
24,84254,female,no,1
23,32005,female,no,1
55,37526,male,yes,0
43,24452,male,yes,0
19,38895,female,no,1
64,91143,male,yes,0
27,72249,female,no,1
59,84829,male,yes,0
48,61981,male,yes,0
57,58087,male,yes,0
51,93023,male,yes,0
32,38134,male,yes,0
31,23556,male,yes,0
52,24453,male,yes,0
56,68501,male,yes,0
26,41619,female,no,1
22,82290,female,no,1
40,59980,male,yes,0
47,66796,male,yes,0
20,48109,female,no,1
64,26877,male,yes,0
32,23407,male,yes,0
21,91580,female,no,1
59,93436,male,yes,0
64,22054,male,yes,0
23,29868,female,no,1
22,27364,male,yes,1
34,78601,male,yes,0
57,75110,male,yes,0
42,48171,male,yes,0
38,65050,male,yes,0
48,48313,male,yes,0
61,90876,male,yes,0
59,81464,male,yes,0
44,41889,male,yes,1
65,63287,male,yes,0
43,72642,male,yes,0
29,39626,male,yes,1
35,82668,male,yes,0
41,48904,male,yes,0
33,94764,male,yes,0
44,40895,male,yes,1
36,62804,male,yes,1
57,46868,male,yes,0
61,34873,male,yes,0
30,31030,male,yes,0
20,39712,female,no,1
32,31855,male,yes,0
18,48726,female,no,1
46,29802,male,yes,0
54,65260,male,yes,1
34,35397,male,yes,0
60,57902,male,yes,0
19,84494,female,no,1
21,43346,male,yes,1
50,42693,male,yes,0
63,41456,male,yes,1
60,34686,male,yes,0
20,80093,female,no,1
29,89950,female,no,1
61,64171,male,yes,0
65,61929,male,yes,0
36,45943,male,yes,0
26,76852,female,no,1
39,89194,male,yes,0
61,54665,male,yes,0
48,83690,male,yes,0
63,56466,male,yes,0
48,96472,male,yes,0
60,31562,male,yes,1
36,92851,male,yes,0
44,25195,male,yes,1
61,50646,male,yes,0
63,76186,male,yes,0
23,31783,female,no,1
25,63937,female,no,1
37,84856,male,yes,0
44,54540,male,yes,0
20,74447,female,no,1
64,71971,male,yes,0
30,64641,male,yes,0
44,59975,male,yes,0
52,88304,male,yes,0
42,56310,male,yes,0
47,87113,male,yes,0
38,75049,male,yes,0
31,87697,male,yes,0
42,88372,male,yes,0
50,83979,male,yes,0
29,49906,female,no,1
54,89078,male,yes,0
19,46620,female,no,1
53,43777,male,yes,0
31,27425,male,yes,0
44,36047,male,yes,1
30,42280,male,yes,0
24,63385,female,no,1
51,79532,male,yes,0
58,37385,male,yes,0
63,73130,male,yes,0
62,36302,male,yes,0
40,93054,male,yes,0
54,99982,male,yes,0
37,49450,male,yes,0
18,66076,female,no,1
23,72419,male,yes,1
57,90046,male,yes,0
59,50820,male,yes,0
56,69499,male,yes,0
27,64506,female,no,1
43,97831,male,yes,0
61,45927,male,yes,0
26,25861,female,no,1
34,63575,male,yes,0
41,76271,male,yes,0
48,97169,male,yes,0
47,77503,male,yes,1
39,21330,male,yes,0
31,26332,male,yes,0
40,99229,male,yes,0
35,34957,male,yes,1
24,70975,female,no,1
41,57558,male,yes,0
64,24297,male,yes,1
52,72582,male,yes,0
52,93220,male,yes,0
20,56278,female,no,1
39,42894,male,yes,0
56,26284,male,yes,0
60,30860,male,yes,0
47,89506,male,yes,0
19,74659,female,no,1
44,90016,male,yes,0
23,48653,female,no,1
41,38176,male,yes,0
37,47444,male,yes,1
52,98470,male,yes,0
56,25187,male,yes,0
28,74753,female,no,1
60,58890,male,yes,0
46,56577,male,yes,0
37,73745,male,yes,0
54,98690,male,yes,1
48,92288,male,yes,0
48,31389,male,yes,0
52,32524,male,yes,0
61,85574,male,yes,0
45,65234,male,yes,0
21,55180,female,no,1
19,29884,female,no,1
36,66726,male,yes,0
58,63558,male,yes,0
54,34894,male,yes,0
35,82255,male,yes,0
44,23256,male,yes,0
33,29853,male,yes,0
55,71803,male,yes,0
30,64196,male,yes,0
26,60209,female,no,1
28,64144,male,yes,1
53,84138,male,yes,0
24,26222,female,no,1
25,70137,female,no,1
42,73503,male,yes,1
49,40258,male,yes,0
34,84888,male,yes,0
52,80601,male,yes,1
61,43057,male,yes,0
59,20828,male,yes,1
62,47910,male,yes,0
52,73211,male,yes,0
53,59364,male,yes,0
42,58720,male,yes,0
19,84202,female,no,1
46,78714,male,yes,0
63,37629,male,yes,0
24,79231,female,no,1
44,53496,male,yes,0
29,73222,female,no,1
25,75268,female,no,1
44,49718,male,yes,0
63,23268,male,yes,0
24,55573,female,no,1
28,77778,female,no,1
45,38699,male,yes,0
25,71146,female,no,1
42,93576,male,yes,0
40,58177,male,yes,0
29,31041,female,no,1
45,94888,male,yes,0
29,75610,female,no,1
26,23221,female,no,1
38,51599,male,yes,1
46,36951,male,yes,0
57,88097,male,yes,0
46,65460,male,yes,0
57,91019,male,yes,0
26,58848,female,no,1
33,83041,male,yes,0
53,88385,male,yes,0
40,82861,male,yes,0
